Station Name,Station Latitude,Station Longitude,Bubble Tea Shop Name,Rating,Business Latitude,Business Longitude
Marinaside & Davie,49.27402,-123.12243,Cha Yuan,4.5,49.27402,-123.12243
Marinaside & Davie,49.27402,-123.12243,Sharetea Yaletown,5.0,49.27609727880593,-123.11929431348956
Marinaside & Davie,49.27402,-123.12243,Kurotaki Bubble Tea House,3.0,49.27464608371603,-123.12584949328874
Marinaside & Davie,49.27609727880593,-123.11929431348956,Sharetea Yaletown,5.0,49.27609727880593,-123.11929431348956
Marinaside & Davie,49.27609727880593,-123.11929431348956,Teaspoons & Company,4.5,49.279506,-123.1243488
Marinaside & Davie,49.27609727880593,-123.11929431348956,Cha Yuan,4.5,49.27402,-123.12243
Marinaside & Davie,49.27609727880593,-123.11929431348956,Jenjudan Yaletown,4.0,49.27833,-123.11621
Marinaside & Davie,49.27609727880593,-123.11929431348956,Gong Cha,3.0,49.2792027,-123.1167521
Robson & Hornby,49.279506,-123.1243488,Teaspoons & Company,4.5,49.279506,-123.1243488
Robson & Hornby,49.279506,-123.1243488,The Alley,3.5,49.2808317,-123.1247428
Robson & Hornby,49.279506,-123.1243488,Tea Drop Café,5.0,49.279501,-123.124057
Robson & Hornby,49.279506,-123.1243488,Atelier by Chatime,3.5,49.28030775449333,-123.11842527240516
Robson & Hornby,49.279506,-123.1243488,Yet’s Cafe,3.5,49.27771297386558,-123.13100819746376
Robson & Hornby,49.286041,-123.1273567,Jenjudan,4.5,49.286041,-123.1273567
Robson & Hornby,49.286041,-123.1273567,Machi Machi,4.0,49.28580788460697,-123.12677226550537
Robson & Hornby,49.286041,-123.1273567,Bubble World,4.0,49.2874205,-123.128873
Robson & Hornby,49.286041,-123.1273567,Blackball,4.0,49.28561,-123.12697
Robson & Hornby,49.286041,-123.1273567,Happy Lemon,3.5,49.2856474,-123.1266978
Robson & Hornby,49.2808317,-123.1247428,The Alley,3.5,49.2808317,-123.1247428
Robson & Hornby,49.2808317,-123.1247428,Teaspoons & Company,4.5,49.279506,-123.1243488
Robson & Hornby,49.2808317,-123.1247428,Tea Drop Café,5.0,49.279501,-123.124057
Robson & Hornby,49.2808317,-123.1247428,Atelier by Chatime,3.5,49.28030775449333,-123.11842527240516
Robson & Hornby,49.2808317,-123.1247428,Gong Cha,3.0,49.2813094,-123.1201513
Robson & Hornby,49.28580788460697,-123.12677226550537,Machi Machi,4.0,49.28580788460697,-123.12677226550537
Robson & Hornby,49.28580788460697,-123.12677226550537,Jenjudan,4.5,49.286041,-123.1273567
Robson & Hornby,49.28580788460697,-123.12677226550537,Blackball,4.0,49.28561,-123.12697
Robson & Hornby,49.28580788460697,-123.12677226550537,Feng Cha,3.5,49.28561,-123.12697
Robson & Hornby,49.28580788460697,-123.12677226550537,Happy Lemon,3.5,49.2856474,-123.1266978
Robson & Hornby,49.2833513,-123.1163056,Xing Fu Tang,3.5,49.2833513,-123.1163056
Robson & Hornby,49.2833513,-123.1163056,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Robson & Hornby,49.2833513,-123.1163056,Sharetea,4.0,49.2834699,-123.1144227
Robson & Hornby,49.2833513,-123.1163056,Deer Alley Restaurant,4.5,49.28537,-123.11709
Robson & Hornby,49.2833513,-123.1163056,Presotea,3.0,49.2846614799521,-123.116223519244
Hornby & Pender,49.28537,-123.11709,Deer Alley Restaurant,4.5,49.28537,-123.11709
Hornby & Pender,49.28537,-123.11709,Bubble Waffle Cafe,4.5,49.2853174845926,-123.11710665093
Hornby & Pender,49.28537,-123.11709,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Hornby & Pender,49.28537,-123.11709,Xing Fu Tang,3.5,49.2833513,-123.1163056
