Station Name,Bubble Tea Shop Name,Rating,Latitude,Longitude
Bute & Robson,Chatime,N/A,N/A,N/A
Bute & Robson,Machi Machi,N/A,N/A,N/A
Bute & Robson,Jenjudan,N/A,N/A,N/A
Bute & Robson,Truedan,N/A,N/A,N/A
Bute & Robson,45 Degree Bubble Tea House,N/A,N/A,N/A
Hastings & Broughton,The Bubble Tea Shop,N/A,N/A,N/A
Hastings & Broughton,Chatime,N/A,N/A,N/A
Hastings & Broughton,45 Degree Bubble Tea House,N/A,N/A,N/A
Hastings & Broughton,Kumme Cafe,N/A,N/A,N/A
Hastings & Broughton,Truedan,N/A,N/A,N/A
8th & Macdonald,Baroness 小黑糖,N/A,N/A,N/A
8th & Macdonald,inTea 因為茶,N/A,N/A,N/A
8th & Macdonald,Kung Fu Tea,N/A,N/A,N/A
8th & Macdonald,Kung Fu Tea - B.C.,N/A,N/A,N/A
Balaclava & Broadway,Kung Fu Tea,N/A,N/A,N/A
Balaclava & Broadway,Baroness 小黑糖,N/A,N/A,N/A
Balaclava & Broadway,inTea 因為茶,N/A,N/A,N/A
Balaclava & Broadway,Kung Fu Tea - B.C.,N/A,N/A,N/A
Balaclava & 6th,Kung Fu Tea,N/A,N/A,N/A
Balaclava & 6th,Kung Fu Tea - B.C.,N/A,N/A,N/A
Trafalgar & Broadway,inTea 因為茶,N/A,N/A,N/A
Trafalgar & Broadway,Baroness 小黑糖,N/A,N/A,N/A
Trafalgar & Broadway,Kung Fu Tea,N/A,N/A,N/A
Trafalgar & Broadway,Kung Fu Tea - B.C.,N/A,N/A,N/A
18th & Cambie,Xing Fu Tang,N/A,N/A,N/A
18th & Cambie,TTOB Bubble Tea,N/A,N/A,N/A
18th & Cambie,Ben Gong’s Tea,N/A,N/A,N/A
18th & Cambie,Hot Cha Cafe,N/A,N/A,N/A
18th & Heather,Xing Fu Tang,N/A,N/A,N/A
18th & Heather,Ben Gong’s Tea,N/A,N/A,N/A
18th & Heather,TTOB Bubble Tea,N/A,N/A,N/A
18th & Heather,Hot Cha Cafe,N/A,N/A,N/A
Burrard & Drake,The Alley,N/A,N/A,N/A
Burrard & Drake,Yet’s Cafe,N/A,N/A,N/A
Burrard & Drake,Passion Tearoom,N/A,N/A,N/A
Columbia & 1st,The Bubble Tea Shop,N/A,N/A,N/A
Davie & Beach,TTOB Holdings Ltd,N/A,N/A,N/A
Morton & Denman,TTOB Holdings Ltd,N/A,N/A,N/A
13th & Cambie,Hot Cha Cafe,N/A,N/A,N/A
13th & Cambie,Ben Gong’s Tea,N/A,N/A,N/A
13th & Cambie,TTOB Bubble Tea,N/A,N/A,N/A
13th & Cambie,OneZo Tapioca,N/A,N/A,N/A
Nelson & Denman,The Bubble Tea Shop,N/A,N/A,N/A
Nelson & Denman,TTOB Holdings Ltd,N/A,N/A,N/A
Nelson & Denman,Weather Tea,N/A,N/A,N/A
Nelson & Denman,Kumme Cafe,N/A,N/A,N/A
Melville & Bute,Chatime,N/A,N/A,N/A
Melville & Bute,Truedan,N/A,N/A,N/A
Melville & Bute,Jenjudan,N/A,N/A,N/A
Melville & Bute,Machi Machi,N/A,N/A,N/A
Melville & Bute,45 Degree Bubble Tea House,N/A,N/A,N/A
Seymour & Cordova,Coco Fresh Tea & Juice,N/A,N/A,N/A
Seymour & Cordova,Teaever Bubble Tea,N/A,N/A,N/A
Seymour & Cordova,Gong Cha West Pender,N/A,N/A,N/A
Seymour & Cordova,T Cafe,N/A,N/A,N/A
Seymour & Cordova,Share Tea,N/A,N/A,N/A
Yukon & 6th,OneZo Tapioca,N/A,N/A,N/A
Rolston & Granville,Chabann Kurotaki,N/A,N/A,N/A
Rolston & Granville,Yet’s Cafe,N/A,N/A,N/A
East Blvd & 37th,Comebuy - Kerrisdale,N/A,N/A,N/A
East Blvd & 37th,Chun Yang Tea,N/A,N/A,N/A
East Blvd & 37th,Yummy Yogurt 有米酸奶,N/A,N/A,N/A
East Blvd & 37th,Chase Tea,N/A,N/A,N/A
East Blvd & 37th,YiFang Taiwan Fruit Tea 一芳台灣水果茶,N/A,N/A,N/A
Franklin & Nanaimo,Bubble Tea Bluemoon,N/A,N/A,N/A
Lakewood & Triumph,Bubble Tea Bluemoon,N/A,N/A,N/A
Lakewood & Oxford,Bubble Tea Bluemoon,N/A,N/A,N/A
