Station Name,Station Latitude,Station Longitude,Available Bikes,Empty Slots,Bubble Tea Shop Name,Rating,Business Latitude,Business Longitude
Robson & Granville,49.281506,-123.120101,3,26,Xing Fu Tang,3.5,49.2833513,-123.1163056
Robson & Granville,49.281506,-123.120101,3,26,Gong Cha,3,49.2792027,-123.1167521
Robson & Granville,49.281506,-123.120101,3,26,Jenjudan Yaletown,4,49.27833,-123.11621
Expo & Smithe,49.276115,-123.114496,14,0,Charisma Cafe & Dessert House,4,49.28018,-123.10866
Expo & Smithe,49.276115,-123.114496,14,0,Boba Run,4.5,49.2819027,-123.1074516
Expo & Smithe,49.276115,-123.114496,14,0,CoCo Fresh Tea & Juice,4,49.28448982,-123.1144133
Expo & Smithe,49.276115,-123.114496,14,0,Bubble King,3.5,49.28038956,-123.106067
Expo & Smithe,49.276115,-123.114496,14,0,Gong Cha,4,49.2838435,-123.1133592
Expo & Smithe,49.276115,-123.114496,14,0,Jenjudan Yaletown,4,49.27833,-123.11621
Expo & Smithe,49.276115,-123.114496,14,0,Gong Cha,3,49.2792027,-123.1167521
Expo & Smithe,49.276115,-123.114496,14,0,Little Bee Bubble Tea,4.5,49.27960478,-123.1154158
